카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
수산물,대왕 선동 활 쭈꾸미 1kg,동해,동해 창고 · 냉동,11500,씨제이대한통운,4000,면세,fish-1.webp,표시
수산물,국내산 통찜 오징어 1kg,동해,동해 창고 · 냉동,11000,씨제이대한통운,4000,면세,fish-2.webp,표시
수산물,양미리 1kg,동해,동해 창고 · 냉동,9500,씨제이대한통운,4000,면세,fish-3.webp,표시
수산물,전통방식 건갈치 1kg,군산,군산 창고 · 진공포장,13000,씨제이대한통운,4000,면세,fish-4.webp,표시
수산물,반건조 갑오징어 특대 1미,군산,군산 창고 · 반건조,11000,씨제이대한통운,4000,면세,fish-5.webp,표시
수산물,무염 특대 황금 알가자미 3미,군산,군산 창고 · 무염,9500,씨제이대한통운,4000,면세,fish-6.webp,표시
수산물,연안 급냉 대숫게 1kg,인천,인천 창고 · 급냉,10000,우체국택배,4000,면세,fish-7.webp,표시
수산물,연안 생연어 300g,인천,인천 창고 · 냉장,9400,우체국택배,4000,면세,fish-8.webp,표시
수산물,연안 손질 꽃게 1kg,인천,인천 창고 · 급냉,8800,우체국택배,4000,면세,fish-9.webp,표시
간편식품,꼬소 새우치즈볼 600g,하남,하남 창고 · 냉동,10000,롯데택배,4000,과세,meal-1.webp,표시
간편식품,맛상 새우까스 20장,하남,하남 창고 · 냉동,7500,롯데택배,4000,과세,meal-2.webp,표시
간편식품,맛상 소떡소떡 1.3kg,하남,하남 창고 · 냉동,7000,롯데택배,4000,과세,meal-3.webp,표시
간편식품,찐 불향 쭈꾸미볶음 300g,푸카,푸카 창고 · 냉동 · 오후마감 12시,7000,로젠택배,4000,과세,meal-4.webp,표시
간편식품,양평해장국 600g,하남,하남 창고 · 간편국,2800,롯데택배,4000,면세,meal-5.webp,표시
간편식품,맛상 명품 오리주물럭 500g,하남,하남 창고 · 냉동,6000,롯데택배,4000,과세,meal-9.webp,표시
간편식품,따끈따끈 소곱창전골 1kg,김포,김포 창고 · 밀키트,8000,씨제이대한통운,4000,과세,meal-6.webp,표시
간편식품,꽉찬 오징어까스 1kg,김포,김포 창고 · 냉동,7500,씨제이대한통운,4000,과세,meal-7.webp,표시
간편식품,옛날 쑥개떡 12개입,김포,김포 창고 · 냉동,7000,씨제이대한통운,4000,과세,meal-8.webp,표시
생활용품,찐한국 숨결고체가글 24정,찐한국,찐한국 · 구강용품,3800,한진택배,2500,과세,living-1.webp,표시
생활용품,찐한국 그냥치약 100g,찐한국,찐한국 · 구강용품,3400,한진택배,2500,과세,living-2.webp,표시
생활용품,찐한국 손결 핸드워시 300ml,찐한국,찐한국 · 세정용품,3300,한진택배,2500,과세,living-3.webp,표시
생활용품,찐한국 주방세제 500ml,찐한국,찐한국 · 주방용품,3100,한진택배,2500,과세,living-4.webp,표시
생활용품,찐한국 고무장갑 그레이,찐한국,찐한국 · 주방용품,3000,한진택배,2500,과세,living-5.webp,표시
생활용품,찐한국 고무장갑 퍼플,찐한국,찐한국 · 주방용품,3000,한진택배,2500,과세,living-6.webp,표시
