카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
수산물,통통 생물 오징어 1kg,충무,충무 공급,10500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,손질 생물 갈치 2kg,군산,군산 공급,14000,롯데택배,4000,면세,,표시
수산물,숙성 민어회 300g,야수,야수 공급,23000,로젠택배,4000,면세,,표시
수산물,싱싱 뿔소라 1kg,싱싱,싱싱 공급,8500,씨제이대한통운,4000,면세,,표시
수산물,통통 손질 갈치 2kg,충무,충무 공급,15000,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 돌문어 1kg,충무,충무 공급,15000,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,손질 노랑새조개 200g,벌교,벌교 공급,13500,롯데택배,4000,면세,,표시
수산물,연안 끝판왕 담치 1kg,인천,인천 공급,9500,우체국택배,4000,면세,,표시
수산물,활 새우 500g,이성,이성 공급,11500,씨제이대한통운,4000,면세,,표시
수산물,연안 활 전어 500g,인천,인천 공급,4500,우체국택배,4000,면세,,표시
수산물,통통 활 전어 500g,충무,충무 공급,4500,씨제이대한통운/롯데택배,4000,면세,,표시
간편식품·밀키트,통통 전어 필렛 250g,충무,충무 공급,12000,씨제이대한통운/롯데택배,4000,면세,,표시
간편식품·밀키트,통통 전어 세꼬시 300g,충무,충무 공급,11000,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 민물장어 1kg,충무,충무 공급,19000,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,탱탱 생물 오징어 1kg,진수,진수 공급,10000,씨제이대한통운,4000,면세,,표시
수산물,생물 오징어 1kg,알가,알가 공급,11500,씨제이대한통운,4000,면세,,표시
수산물,국내산 생물 오징어 1kg,동해,동해 공급,10500,씨제이대한통운,4000,면세,,표시
수산물,마가단 박달대게 한마리,동해,동해 공급,25000,씨제이대한통운,4000,면세,,표시
수산물,S급 러시아 박달대게 3kg,디디,디디 공급,75000,씨제이대한통운,0,면세,,표시
수산물,연안 주먹참소라 1kg,인천,인천 공급,7700,우체국택배,4000,면세,,표시
수산물,연안 연평참소라 1kg,인천,인천 공급,5000,우체국택배,4000,면세,,표시
간편식품·밀키트,자연산 횟감 생합 500g,군산,군산 공급,3500,롯데택배,4000,면세,,표시
간편식품·밀키트,1등급 한상모듬 1kg,북구,북구 공급,51000,씨제이대한통운,4000,면세,,표시
수산물,국내산 랜덤 돌문어 1kg,여수,여수 공급,15000,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,연안 국내산 생합 1kg,인천,인천 공급,5500,우체국택배,4000,면세,,표시
수산물,동해 살고동 소짜 1kg,원수,원수 공급,5000,우체국택배,4000,면세,,표시
수산물,동해 살고동 대짜 1kg,원수,원수 공급,9000,우체국택배,4000,면세,,표시
수산물,연안 도시락문어 1kg,인천,인천 공급,28000,우체국택배,4000,면세,,표시
수산물,연안 2미중문어 1kg,인천,인천 공급,28000,우체국택배,4000,면세,,표시
수산물,연안 1미대문어 1kg,인천,인천 공급,28000,우체국택배,4000,면세,,표시
수산물,연안 특대문어 1.5kg,인천,인천 공급,37000,우체국택배,4000,면세,,표시
간편식품·밀키트,캐비어 칼루가 10g,캐비,캐비 공급,21000,우체국택배,4000,과세,,표시
간편식품·밀키트,캐비어 칼루가 5g,캐비,캐비 공급,12000,우체국택배,4000,과세,,표시
간편식품·밀키트,연안 명주조개 1kg,인천,인천 공급,4500,우체국택배,4000,면세,,표시
수산물,연안 중대담치 2kg,인천,인천 공급,11000,우체국택배,4000,면세,,표시
간편식품·밀키트,이벤트 한상모듬 1kg,북구,북구 공급,51000,씨제이대한통운,4000,면세,,표시
수산물,생물 갑오징어 1kg,알가,알가 공급,11000,씨제이대한통운,4000,면세,,표시
수산물,동해 활 골뱅이 1kg,동해,동해 공급,4500,씨제이대한통운,4000,면세,,표시
수산물,연안 꼬마 참소라 1kg,인천,인천 공급,5000,우체국택배,4000,면세,,표시
수산물,연안 오육미전복 1kg,인천,인천 공급,23000,우체국택배,4000,면세,,표시
수산물,생물 고등어 3kg,군산,군산 공급,20000,씨제이대한통운,4000,면세,,표시
수산물,국내산 생물 병어 1kg,여수,여수 공급,5500,씨제이대한통운,4000,면세,,표시
수산물,북해도 대게 3.5kg,디디,디디 공급,46000,씨제이대한통운,0,면세,,표시
수산물,큼직 바지락 1kg,여수2,여수2 공급,4500,씨제이대한통운,4000,면세,,표시
수산물,연안 생물 참조기 1kg,인천,인천 공급,6500,우체국택배,4000,면세,,표시
간편식품·밀키트,통통 보라성게알 100g,충무,충무 공급,12500,씨제이대한통운/롯데택배,4000,면세,,표시
간편식품·밀키트,올바른 남해 맛조개 500g,여수,여수 공급,8500,씨제이대한통운,4000,면세,,표시
수산물,생물 꼼장어 1kg,부산,부산 공급,26400,씨제이대한통운,4000,면세,,표시
수산물,통통 삼배체 굴 1kg,쫄깃,쫄깃 공급,5500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,참치 오마카세 한판,인지,인지 공급,44000,로젠택배,0,면세,,표시
수산물,만능 활 전복 1kg,여수,여수 공급,15500,씨제이대한통운,4000,면세,,표시
수산물,자이언트 전복 1kg,여수,여수 공급,22000,씨제이대한통운,4000,면세,,표시
수산물,활 흰다리새우 500g,진수,진수 공급,14000,씨제이대한통운,4000,면세,,표시
축산물,국내산 대패 삼겹살 500g,군산,군산 공급,7000,롯데택배,4000,면세,,표시
선물세트,영광굴비 20미 선물세트,군산,군산 공급,16500,롯데택배,4000,면세,,표시
수산물,대왕 황금 알가자미 1미 400g급,군산,군산 공급,6500,롯데택배,4000,면세,,표시
수산물,대왕 황금 알가자미 1미 500g급,군산,군산 공급,8000,롯데택배,4000,면세,,표시
간편식품·밀키트,깐 다슬기 300g,군산,군산 공급,8500,롯데택배,4000,면세,,표시
축산물,깔끔 국내산 등갈비 1kg,군산,군산 공급,9300,롯데택배,4000,면세,,표시
간편식품·밀키트,국내산 통삼겹 500g,군산,군산 공급,8000,롯데택배,4000,면세,,표시
축산물,초벌 돼지막창 300g,군산,군산 공급,7000,롯데택배,4000,과세,,표시
축산물,꽉꽉 소곱창 400g,군산,군산 공급,10200,롯데택배,4000,과세,,표시
떡·간식,담양 한돈 떡갈비 400g,군산,군산 공급,5500,롯데택배,4000,과세,,표시
간편식품·밀키트,국내산 통생삼겹 500g,군산,군산 공급,8000,롯데택배,4000,면세,,표시
간편식품·밀키트,전통 울릉도 호박엿 600g,군산,군산 공급,9000,롯데택배,4000,과세,,표시
수산물,초대왕 반건조 갑오징어 400g급,군산,군산 공급,12000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 500g급,군산,군산 공급,13000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 600g급,군산,군산 공급,14000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 700g급,군산,군산 공급,15000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 800g급,군산,군산 공급,16000,롯데택배,4000,면세,,표시
수산물,코다리 1마리,군산,군산 공급,2700,롯데택배,4000,면세,,표시
수산물,북해도 반건조 우럭 3미,군산,군산 공급,6500,롯데택배,4000,면세,,표시
